lng,lat,index,area
103.8428478,1.365820895,1,Ang Mo Kio
103.9279003,1.324491975,2,Bedok
103.8362982,1.365170696,3,Bishan
103.7051608,1.339318878,4,Boon Lay
103.750815,1.349874062,5,Bukit Batok
103.8172113,1.282044767,6,Bukit Merah
103.7593018,1.371790416,7,Bukit Panjang
103.7716841,1.340489176,8,Bukit Timah
103.9493525,1.340690067,9,Changi
103.6950876,1.376984235,10,Choa Chu Kang
103.7675155,1.323552869,11,Clementi
103.8472819,1.287803991,12,City
103.8760618,1.312467414,13,Geylang
103.8794503,1.375667283,14,Hougang
103.6928107,1.351751897,15,Jalan Bahar
103.7325702,1.346808091,16,Jurong East
103.6967452,1.266586636,17,Jurong Island
103.7080875,1.341605075,18,Jurong West
103.8728009,1.321926236,19,Kallang
103.7042223,1.428067792,20,Lim Chu Kang
103.7908987,1.416707541,21,Mandai
103.927924,1.326130496,22,Marine Parade
103.8426871,1.321908792,23,Novena
103.9419929,1.387927229,24,Pasir Ris
103.89024,1.329826313,25,Paya Lebar
103.6977966,1.332620872,26,Pioneer
104.0370775,1.438924027,27,Pulau Tekong
103.9759178,1.412509013,28,Pulau Ubin
103.9134641,1.393606248,29,Punggol
103.8085265,1.297118423,30,Queenstown
103.8682844,1.40011514,31,Seletar
103.8211076,1.41967479,32,Sembawang
103.8959932,1.391675328,33,Sengkang
103.8273289,1.250558818,34,Sentosa
103.8546282,1.311210739,35,Serangoon
103.7485072,1.417269527,36,Sungei Kadut
103.9540103,1.352141948,37,Tampines
103.8268909,1.323355249,38,Tanglin
103.7126347,1.37796278,39,Tengah
103.8554947,1.333273324,40,Toa Payoh
103.6522087,1.317204168,41,Tuas
103.8043294,1.43357569,42,Woodlands
103.8367896,1.430718578,43,Yishun
